Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
사탕,飴,Candy,새,新しい/鳥,New/Bird,외할머니,祖母（母方）,Grandmother (maternal),우표,切手,Stamp,오래간만,久しぶり,Long Time No See,부인,夫人,Wife,적갈색,赤褐色,reddish brown,놀이공원,遊園地,amusement park,전기자동차,電気自動車,Electric Car,사탕을 먹었어요.,飴を食べました。,I ate candy.,あめ
설문,設問,survey/questionnaire,목걸이,ネックレス,Necklace,빨리,早く,quickly/fast,연두색,黄緑色,yellowish green,교통사고,交通事故,Traffic Accident,우편번호,郵便番号,postal code,책장,本棚,Bookshelf,단점,短所,Weakness/Flaw,자연,自然,Nature,설문을 작성해 주세요.,設問に回答してください。,Please fill out the questionnaire.,せつもん
경험,経験,Experience,아시아,アジア,Asia,상품,商品,Product,폭풍,暴風,storm,나,僕、わたし、~や,I/We/Somebody,위치,位置,Location,주부,主婦,Housewife,감동,感動,Emotion,도착,到着,Arrival,그는 많은 경험이 있어요。,彼は多くの経験があります。,He has a lot of experience.,けいけん
상관,関係,Relation,도쿄,東京,Tokyo,죽,おかゆ,Porridge,불꽃축제,プルコッチュクチェ (花火大会),Fireworks Festival,김밥,のり巻き,Kimbap,답장,返信、返事,Reply,장소,場所,Place,결혼,結婚,marriage,엽서,葉書,Postcard,이 일과는 상관이 없어요.,このこととは関係がありません。,This has nothing to do with it.,かんけい
바나나,バナナ,banana,더,より,More,달러,ドル,Dollar,제목,題名,Title,저기,あそこ,Over There,황사,黄砂,yellow dust,땀,汗,Sweat,어디,どこ,where,소설가,小説家,Novelist,바나나를 샀어요.,バナナを買いました。,I bought bananas.,ばなな
한국요리,韓国料理,Korean Cuisine,내년,来年,Next Year,아빠,パパ,Dad,수영장,プール,Swimming Pool,지방,地方,Region,사진 촬영,写真撮影,photography,분,分/名(目上の人),Minute/Person,대화,対話,Conversation,일본,日本,Japan,한국요리가 맛있어요.,韓国料理が美味しいです。,Korean food is delicious.,かんこくりょうり
떡볶이,トッポギ,Tteokbokki,소포,小包,Parcel,장갑,手袋,gloves,나라,国,Country,다음해,翌年,Next Year,베이컨,ベーコン,Bacon,반바지,半ズボン,Shorts,초대,招待,invitation,매주,毎週,Every Week,떡볶이를 좋아해요.,トッポギが好きです。,I like tteokbokki.,とっぽぎ
유럽,ヨーロッパ,Europe,사고,事故,accident,바로,すぐに、まさに,Immediately/Exactly,토요일,土曜日,Saturday,두부찌개,豆腐チゲ,Tofu Stew,언어,言語,language,정의,正義,justice,국어,国語,Korean Language,중학생,中学生,Middle School Student,유럽 여행을 계획하고 있어요.,ヨーロッパ旅行を計画しています。,I am planning a trip to Europe.,よーろっぱ
고구마,さつまいも,sweet potato,충전기,充電器,charger,출발,出発,Departure,비,雨,Rain,문학,文学,literature,비용,費用,cost,코,鼻,nose,빛,光,light,방,部屋,Room,고구마가 달아요.,薩摩芋は甘いです。,The sweet potato is sweet.,さつまいも
천장,天井,ceiling,일본어,日本語,Japanese Language,킬로그램,キログラム,Kilogram,절대(로),絶対に,never/absolutely,장,~枚,Piece,아파트,アパート,Apartment,황사,黄砂,yellow dust,우주,宇宙,universe,행복,幸福,happiness,천장이 높아요.,天井が高いです。,The ceiling is high.,てんじょう
