축구,サッカー,Soccer.png
농구,バスケットボール,Basketball.png
야구,野球,Baseball.png
테니스,テニス,Tennis.png
배드민턴,バドミントン,Badminton.png
탁구,卓球,Table tennis.png
수영,水泳,Swimming.png
육상,陸上競技,Track and field.png
마라톤,マラソン,Marathon.png
사이클링,サイクリング,Cycling.png
스키,スキー,Skiing.png
스노보드,スノーボード,Snowboarding.png
골프,ゴルフ,Golf.png
럭비,ラグビー,Rugby.png
배구,バレーボール,Volleyball.png
하키,ホッケー,Hockey.png
권투,ボクシング,Boxing.png
레슬링,レスリング,Wrestling.png
유도,柔道,Judo.png
태권도,テコンドー,Taekwondo.png
요가,ヨガ,Yoga.png
피트니스,フィットネス,Fitness.png
웨이트리프팅,ウェイトリフティング,Weightlifting.png
체조,体操,Gymnastics.png
승마,乗馬,Horse riding.png
스케이트보딩,スケートボード,Skateboarding.png
서핑,サーフィン,Surfing.png
카약,カヤック,Kayaking.png
등산,登山,Hiking.png
조깅,ジョギング,Jogging.png
공,ボール,Ball.png
라켓,ラケット,Racket.png
배트,バット,Bat.png
헬멧,ヘルメット,Helmet.png
글러브,グローブ,Glove.png
보호대,プロテクター,Protector.png
골대,ゴール,Goal.png
네트,ネット,Net.png
스케이트,スケート,Skate.png
자전거,自転車,Bicycle.png
줄넘기,縄跳び,Jump rope.png
아령,ダンベル,Dumbbell.png
바벨,バーベル,Barbell.png
운동화,運動靴,Sports shoes.png
물병,水筒,Water bottle.png
요가 매트,ヨガマット,Yoga mat.png
테니스공,テニスボール,Tennis ball.png
배구공,バレーボール,Volleyball.png
축구공,サッカーボール,Soccer ball.png
농구공,バスケットボール,Basketball.png
야구공,野球ボール,Baseball.png
탁구채,卓球ラケット,Table tennis racket.png
스키 폴,スキーポール,Ski pole.png
스키 부츠,スキーブーツ,Ski boots.png
서핑보드,サーフィンボード,Surfboard.png
카약,カヤック,Kayak.png
낚싯대,釣り竿,Fishing rod.png
권투 글러브,ボクシンググローブ,Boxing glove.png
승마채찍,乗馬鞭,Riding crop.png
클라이밍 장비,クライミング用具,Climbing gear.png
