Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
축하,祝賀,Congratulations,천장,天井,ceiling,다이어트,ダイエット,Diet,은색,銀色,silver,이자,利子,interest,그동안,これまで,Meanwhile,시간표,時間表,Schedule,흰색,白色,White,님,~様,Suffix for respect,생일 축하합니다!,誕生日おめでとうございます!,Happy birthday!,しゅくが
후,~後,After,동물,動物,Animal,권,巻,Volume,서양,西洋,The West,무척,とても、非常に,Very/Extremely,열쇠,鍵,Key,대한민국,大韓民国,Republic of Korea,운동복,体操服,Sportswear,사진,写真,photo,수업 후에 만나요.,授業後に会いましょう。,See you after class.,あと
색깔,色,Color,액세서리,アクセサリー,Accessory,주부,主婦,Housewife,속,中,Inside,한국말,韓国語,Korean Language,비행기,飛行機,airplane,커피숍,コーヒーショップ,Coffee Shop,복도,廊下,hallway,젓가락,箸,Chopsticks,다양한 색깔이 있어요.,いろいろな色があります。,There are various colors.,いろ
아프리카,アフリカ,Africa,축제,祝祭,festival,아래,下,Below,표현,表現,Expression,생활,生活,Life,오이,きゅうり,cucumber,양복,スーツ,Suit,건강,健康,health,구청,区役所,ward office,아프리카 여행을 가고 싶어요.,アフリカ旅行に行きたいです。,I want to travel to Africa.,あふりか
자동차회사,自動車会社,Automobile Company,혹은,あるいは,or,감기약,風邪薬,Cold Medicine,여러,多くの,Many,올해,今年,This Year,여보세요,もしもし,Hello (on phone),토요일,土曜日,Saturday,전쟁,戦争,war,사전,辞書,Dictionary,자동차회사에서 일해요.,自動車会社で働いています。,I work at an automobile company.,じどうしゃがいしゃ
이혼,離婚,divorce,짜리,価値があるもの,Value,당근,にんじん,Carrot,설렁탕,ソルロンタン,Beef Bone Soup,외국어,外国語,Foreign Language,선박,船,boat,오래간만,久しぶり,Long Time No See,무,大根,Radish,배낭,リュックサック,backpack,이혼은 힘든 결정이에요.,離婚は大変な決断です。,Divorce is a tough decision.,りこん
주부,主婦,Housewife,주위,周囲,Surroundings,여러가지,いろいろ,Various,즉,すなわち,that is/namely,야구,野球,Baseball,요즘,この頃,Nowadays,복도,廊下,hallway,국기,国旗,national flag,중,中,Middle,그녀는 주부로 일하고 있어요.,彼女は主婦として働いています。,She works as a housewife.,しゅふ
소고기,牛肉,Beef,부동산,不動産,Real Estate,취미,趣味,Hobby,아버님,お父様,Father (honorific),공부,勉強,Study,개나리,レンギョウ,Forsythia,닭고기,鶏肉,Chicken Meat,빨래,洗濯,Laundry,연두색,黄緑色,yellowish green,소고기를 샀어요.,牛肉を買いました。,I bought beef.,ぎゅうにく
골프,ゴルフ,Golf,어느 쪽,どちら,which side,확률,確率,probability,저곳,あそこ,That Place,호랑이,虎,tiger,지폐,紙幣,bill (money),새,新しい/鳥,New/Bird,여우,狐,fox,수영복,水着,Swimsuit,주말에 골프를 치러 갈 거예요。,週末にゴルフをしに行きます。,I will go play golf on the weekend.,ゴルフ
아파트,アパート,Apartment,입구,入口,entrance,방,部屋,Room,종로,鍾路,Jongno,경치,景色、風景,Scenery,소설,小説,Novel,지폐,紙幣,bill (money),인구,人口,population,대학원,大学院,Graduate School,새로운 아파트에 이사했어요.,新しいアパートに引っ越しました。,I moved into a new apartment.,あぱーと
